,Date,Host,Result,Guest,Status,Season
240,02.12.2019,Cagliari,4 : 3,Sampdoria,Завершен,italy-serie-a-2019-2020
241,01.12.2019,Hellas Verona,1 : 3,Roma,Завершен,italy-serie-a-2019-2020
242,01.12.2019,Napoli,1 : 2,Bologna,Завершен,italy-serie-a-2019-2020
243,01.12.2019,Inter,2 : 1,SPAL,Завершен,italy-serie-a-2019-2020
244,01.12.2019,Lazio,3 : 0,Udinese,Завершен,italy-serie-a-2019-2020
245,01.12.2019,Parma,0 : 1,Milan,Завершен,italy-serie-a-2019-2020
246,01.12.2019,Juventus,2 : 2,Sassuolo,Завершен,italy-serie-a-2019-2020
247,30.11.2019,Fiorentina,0 : 1,Lecce,Завершен,italy-serie-a-2019-2020
248,30.11.2019,Genoa,0 : 1,Torino,Завершен,italy-serie-a-2019-2020
249,30.11.2019,Brescia,0 : 3,Atalanta,Завершен,italy-serie-a-2019-2020
250,25.11.2019,SPAL,1 : 1,Genoa,Завершен,italy-serie-a-2019-2020
251,25.11.2019,Lecce,2 : 2,Cagliari,Завершен,italy-serie-a-2019-2020
252,24.11.2019,Sampdoria,2 : 1,Udinese,Завершен,italy-serie-a-2019-2020
253,24.11.2019,Hellas Verona,1 : 0,Fiorentina,Завершен,italy-serie-a-2019-2020
254,24.11.2019,Roma,3 : 0,Brescia,Завершен,italy-serie-a-2019-2020
255,24.11.2019,Sassuolo,1 : 2,Lazio,Завершен,italy-serie-a-2019-2020
256,24.11.2019,Bologna,2 : 2,Parma,Завершен,italy-serie-a-2019-2020
257,23.11.2019,Torino,0 : 3,Inter,Завершен,italy-serie-a-2019-2020
258,23.11.2019,Milan,1 : 1,Napoli,Завершен,italy-serie-a-2019-2020
259,23.11.2019,Atalanta,1 : 3,Juventus,Завершен,italy-serie-a-2019-2020
260,10.11.2019,Juventus,1 : 0,Milan,Завершен,italy-serie-a-2019-2020
261,10.11.2019,Parma,2 : 0,Roma,Завершен,italy-serie-a-2019-2020
262,10.11.2019,Lazio,4 : 2,Lecce,Завершен,italy-serie-a-2019-2020
263,10.11.2019,Sampdoria,0 : 0,Atalanta,Завершен,italy-serie-a-2019-2020
264,10.11.2019,Udinese,0 : 0,SPAL,Завершен,italy-serie-a-2019-2020
265,10.11.2019,Cagliari,5 : 2,Fiorentina,Завершен,italy-serie-a-2019-2020
266,09.11.2019,Napoli,0 : 0,Genoa,Завершен,italy-serie-a-2019-2020
267,09.11.2019,Inter,2 : 1,Hellas Verona,Завершен,italy-serie-a-2019-2020
268,09.11.2019,Brescia,0 : 4,Torino,Завершен,italy-serie-a-2019-2020
269,08.11.2019,Sassuolo,3 : 1,Bologna,Завершен,italy-serie-a-2019-2020
270,04.11.2019,SPAL,0 : 1,Sampdoria,Завершен,italy-serie-a-2019-2020
271,03.11.2019,Milan,1 : 2,Lazio,Завершен,italy-serie-a-2019-2020
272,03.11.2019,Fiorentina,1 : 1,Parma,Завершен,italy-serie-a-2019-2020
273,03.11.2019,Genoa,1 : 3,Udinese,Завершен,italy-serie-a-2019-2020
274,03.11.2019,Hellas Verona,2 : 1,Brescia,Завершен,italy-serie-a-2019-2020
275,03.11.2019,Lecce,2 : 2,Sassuolo,Завершен,italy-serie-a-2019-2020
276,03.11.2019,Atalanta,0 : 2,Cagliari,Завершен,italy-serie-a-2019-2020
277,02.11.2019,Torino,0 : 1,Juventus,Завершен,italy-serie-a-2019-2020
278,02.11.2019,Bologna,1 : 2,Inter,Завершен,italy-serie-a-2019-2020
279,02.11.2019,Roma,2 : 1,Napoli,Завершен,italy-serie-a-2019-2020
280,31.10.2019,Milan,1 : 0,SPAL,Завершен,italy-serie-a-2019-2020
281,30.10.2019,Cagliari,3 : 2,Bologna,Завершен,italy-serie-a-2019-2020
282,30.10.2019,Juventus,2 : 1,Genoa,Завершен,italy-serie-a-2019-2020
283,30.10.2019,Lazio,4 : 0,Torino,Завершен,italy-serie-a-2019-2020
284,30.10.2019,Sampdoria,1 : 1,Lecce,Завершен,italy-serie-a-2019-2020
285,30.10.2019,Sassuolo,1 : 2,Fiorentina,Завершен,italy-serie-a-2019-2020
286,30.10.2019,Udinese,0 : 4,Roma,Завершен,italy-serie-a-2019-2020
287,30.10.2019,Napoli,2 : 2,Atalanta,Завершен,italy-serie-a-2019-2020
288,29.10.2019,Brescia,1 : 2,Inter,Завершен,italy-serie-a-2019-2020
289,29.10.2019,Parma,0 : 1,Hellas Verona,Завершен,italy-serie-a-2019-2020
290,27.10.2019,Fiorentina,1 : 2,Lazio,Завершен,italy-serie-a-2019-2020
291,27.10.2019,Roma,2 : 1,Milan,Завершен,italy-serie-a-2019-2020
292,27.10.2019,Atalanta,7 : 1,Udinese,Завершен,italy-serie-a-2019-2020
293,27.10.2019,SPAL,1 : 1,Napoli,Завершен,italy-serie-a-2019-2020
294,27.10.2019,Torino,1 : 1,Cagliari,Завершен,italy-serie-a-2019-2020
295,27.10.2019,Bologna,2 : 1,Sampdoria,Завершен,italy-serie-a-2019-2020
296,26.10.2019,Genoa,3 : 1,Brescia,Завершен,italy-serie-a-2019-2020
297,26.10.2019,Inter,2 : 2,Parma,Завершен,italy-serie-a-2019-2020
298,26.10.2019,Lecce,1 : 1,Juventus,Завершен,italy-serie-a-2019-2020
299,25.10.2019,Hellas Verona,0 : 1,Sassuolo,Завершен,italy-serie-a-2019-2020
300,21.10.2019,Brescia,0 : 0,Fiorentina,Завершен,italy-serie-a-2019-2020
301,20.10.2019,Milan,2 : 2,Lecce,Завершен,italy-serie-a-2019-2020
302,20.10.2019,Parma,5 : 1,Genoa,Завершен,italy-serie-a-2019-2020
303,20.10.2019,Cagliari,2 : 0,SPAL,Завершен,italy-serie-a-2019-2020
304,20.10.2019,Sampdoria,0 : 0,Roma,Завершен,italy-serie-a-2019-2020
305,20.10.2019,Udinese,1 : 0,Torino,Завершен,italy-serie-a-2019-2020
306,20.10.2019,Sassuolo,3 : 4,Inter,Завершен,italy-serie-a-2019-2020
307,19.10.2019,Juventus,2 : 1,Bologna,Завершен,italy-serie-a-2019-2020
308,19.10.2019,Napoli,2 : 0,Hellas Verona,Завершен,italy-serie-a-2019-2020
309,19.10.2019,Lazio,3 : 3,Atalanta,Завершен,italy-serie-a-2019-2020
310,18.12.2019,Brescia,0 : 2,Sassuolo,Завершен,italy-serie-a-2019-2020
