,Unnamed: 0,Date,Host,Result,Guest,Status,Season,Host: Average shots stvor,Guest: Average shots stvor,Host: Average corner situation,Guest: Average corner situation,Host: SCR,Guest: SCR,Host: Ball control,Guest: Ball control
84,84,05.07.2020,Brescia,2 : 0,Hellas Verona,Завершен,italy-serie-a-2019-2020,3.68,4.45,4.21,5.45,0.11138613861386139,0.14134275618374556,40.05,49.68
85,85,05.07.2020,Sampdoria,3 : 0,SPAL,Завершен,italy-serie-a-2019-2020,4.66,3.34,5.13,4.16,0.11423550087873462,0.07179487179487179,42.53,46.55
86,86,05.07.2020,Inter,1 : 2,Bologna,Завершен,italy-serie-a-2019-2020,6.18,4.53,6.18,6.0,0.17170891251022077,0.1269265639165911,54.21,52.87
87,87,04.07.2020,Lazio,0 : 3,Milan,Завершен,italy-serie-a-2019-2020,5.95,5.21,5.74,5.47,0.18229166666666669,0.13385826771653545,50.45,55.24
88,88,04.07.2020,Sassuolo,4 : 2,Lecce,Завершен,italy-serie-a-2019-2020,5.29,4.58,5.45,4.79,0.16869728209934395,0.13888888888888887,57.71,44.58
89,89,04.07.2020,Juventus,4 : 1,Torino,Завершен,italy-serie-a-2019-2020,6.26,3.89,6.18,4.74,0.14695077149155034,0.13303769401330376,58.16,47.45
90,90,02.07.2020,Roma,0 : 2,Udinese,Завершен,italy-serie-a-2019-2020,5.71,3.92,7.03,5.26,0.14992503748125938,0.10559662090813093,53.03,44.66
91,91,02.07.2020,Atalanta,2 : 0,Napoli,Завершен,italy-serie-a-2019-2020,7.34,6.21,6.53,5.84,0.1882693700217234,0.11976047904191618,57.63,59.32
92,92,01.07.2020,SPAL,2 : 2,Milan,Завершен,italy-serie-a-2019-2020,3.34,5.21,4.16,5.47,0.07179487179487179,0.13385826771653545,46.55,55.24
93,93,01.07.2020,Hellas Verona,3 : 2,Parma,Завершен,italy-serie-a-2019-2020,4.45,4.11,5.45,4.39,0.14134275618374556,0.15739769150052466,49.68,43.63
94,94,01.07.2020,Lecce,1 : 2,Sampdoria,Завершен,italy-serie-a-2019-2020,4.58,4.66,4.79,5.13,0.13888888888888887,0.11423550087873462,44.58,42.53
95,95,01.07.2020,Fiorentina,1 : 3,Sassuolo,Завершен,italy-serie-a-2019-2020,5.08,5.29,5.5,5.45,0.12404580152671756,0.16869728209934395,47.53,57.71
96,96,01.07.2020,Inter,6 : 0,Brescia,Завершен,italy-serie-a-2019-2020,6.18,3.68,6.18,4.21,0.17170891251022077,0.11138613861386139,54.21,40.05
